id,conference,title,year,authors,doi
5174,IVI,Sybil Attack Detection through Global Topology Pattern Visualization,2010,"Lu, Aidong, Wang, Weichao, Dnyate, Abhishek, Hu, Xianlin",10.1057/ivs.2010.1
5143,IVI,Interactive Wormhole Detection and Evaluation,2007,"Wang, Weichao, Lu, Aidong",10.1057/palgrave.ivs.9500144
4477,Vis,Bluff: Interactively Deciphering Adversarial Attacks on Deep Neural Networks,2020,"Das, N., Park, H., Wang, Z. J., Hohman, F., Firstman, R., Rogers, E., Chau, D. H. P.",10.1109/VIS47514.2020.00061
1835,PacificVis,Integrated visualization system for monitoring security in large-scale local area network,2007,"Mukosaka, S., Koike, H.",10.1109/APVIS.2007.329273
1285,IV,A Visualization Approach for Frauds Detection in Financial Market,2009,"Huang, Mao Lin, Liang, Jie, Nguyen, Quang Vinh",10.1109/IV.2009.23
1427,IV,A Visualisation Technique for the Identification of Security Threats in Networked Systems,2010,"Maple, C., Viduto, V.",10.1109/IV.2010.81
3349,Vis,Explaining Vulnerabilities to Adversarial Machine Learning through Visual Analytics,2020,"Ma, Y., Xie, T., Li, J., Maciejewski, R.",10.1109/TVCG.2019.2934631
3832,IV,Adversarial Teaching Approach to Cybersecurity: A Mathematical Model Explains Why It Works Well,2020,"Servin, C., Kosheleva, O., Kreinovich, V.",10.1109/IV51561.2020.00058
1567,IV,Pianola - Visualization of Multivariate Time-Series Security Event Data,2013,"Thomson, A., Graham, M., Kennedy, J.",10.1109/IV.2013.15
4746,journal,Generating Adversarial Surfaces via Band-Limited Perturbations,2020,"Mariani, G., Cosmo, L., Bronstein, A. M., Rodola, E.",https://doi.org/10.1111/cgf.14083
1748,IV,Visual Clustering of Spam Emails for DDoS Analysis,2011,"Huang, Mao Lin, Zhang, Jinson, Nguyen, Quang Vinh, Wang, Junhu",10.1109/IV.2011.41
2688,VAST,VAST 2012 Mini-Challenge 2: Chart- and Matrix-based approach to network operations forensics,2012,"Hildenbrand, Jan, Paval, Daniel-Ionut, Thapa, Prakash, Rohrdantz, Christian, Mansmann, Florian, Bertini, Enrico, Schreck, Tobias",10.1109/VAST.2012.6400513
1446,IV,Visualizing Patterns in Node-link Diagrams,2012,"Lambert, A., Queyroi, F., Bourqui, R.",10.1109/IV.2012.19
960,IV,Everyday Life Discoveries: Mining and Visualizing Activity Patterns in Social Science Diary Data,2007,"Vrotsou, K., Ellegard, K., Cooper, M.",10.1109/IV.2007.48
14,VAST,Magnostics: Image-Based Search of Interesting Matrix Views for Guided Network Exploration,2017,"Behrisch, M., Bach, B., Hund, M., Delz, M., R?den, L. Von, Fekete, J. D., Schreck, T.",10.1109/TVCG.2016.2598467
5168,IVI,Accommodating IPv6 Addresses in Security Visualization Tools,2010,"Barrera, David, van Oorschot, Paul C",10.1057/ivs.2010.9
5497,EuroVis,Visual Analysis of Governing Topological Structures in Excitable Network Dynamics,2016,"Ngo, Quynh Quang, Hutt, Marc-Thorsten, Linsen, Lars",10.1111/cgf.12906
1931,PacificVis,Dynamic network visualization in 1.5D,2011,"Shi, L., Wang, C., Wen, Zhen",10.1109/PACIFICVIS.2011.5742388
5170,IVI,Visualizing Keyboard Pattern Passwords,2010,"Schweitzer, Dino, Boleng, Jeff, Hughes, Colin, Murphy, Louis",10.1057/ivs.2010.12
321,SciVis,A Visual Analytics Approach to Multiscale Exploration of Environmental Time Series,2012,"Sips, M., Kothur, P., Unger, A., Hege, H.-C., Dransch, D.",10.1109/TVCG.2012.191
5371,EuroVis,Interactive Visual Exploration of Local Patterns in Large Scatterplot Spaces,2018,"Chegini, Mohammad, Shao, Lin, Gregor, Robert, Lehmann, Dirk Joachim, Andrews, Keith, Schreck, Tobias",10.1111/cgf.13404
2413,EuroVis,Visual Analysis of Time-Series Similarities for Anomaly Detection in Sensor Networks,2014,"Steiger, Martin, Bernard, Jurgen, Mittelstadt, Sebastian, Lucke-Tieke, Hendrik, Keim, Daniel, May, Thorsten, Kohlhammer, Jorn",10.1111/cgf.12396
4151,IV,A Support Environment and a Trial Practice of Hacking Contest with Attack and Defense Style on a Game Website,2017,"Nakaya, M., Okawa, M., Nakajima, M., Tominaga, H.",10.1109/iV.2017.78
43,VAST,Patterns and Sequences: Interactive Exploration of Clickstreams to Understand Common Visitor Paths,2017,"Liu, Z., Wang, Y., Dontcheva, M., Hoffman, M., Walker, S., Wilson, A.",10.1109/TVCG.2016.2598797
5495,EuroVis,BubbleNet: A Cyber Security Dashboard for Visualizing Patterns,2016,"McKenna, Sean, Staheli, Diane, Fulcher, Cody, Meyer, Miriah",10.1111/cgf.12904
1305,IV,Visual Analysis of Overlapping Biological Networks,2009,"Fung, D.C.Y., Hong, Seok-Hee, Koschutzki, D., Schreiber, F., Xu, Kai",10.1109/IV.2009.55
3265,Vis,GUIRO: User-Guided Matrix Reordering,2020,"Behrisch, M., Schreck, T., Pfister, H.",10.1109/TVCG.2019.2934300
2440,EuroVis,Investigative Visual Analysis of Global Terrorism,2008,"Wang, Xiaoyu, Miller, Erin, Smarick, Kathleen, Ribarsky, William, Chang, Remco",10.1111/j.1467-8659.2008.01225.x
3835,IV,Exploring Time-Series Through Force-Directed Timelines,2020,"Cruz, A., Arrais, J. P., Machado, P.",10.1109/IV51561.2020.00061
5005,IVI,"Network Intrusion Visualization with NIVA, an Intrusion Detection Visual and Haptic Analyzer",2003,"Scott, Craig, Nyarko, Kofi, Capers, Tanya, Ladeji-Osias, Jumoke",10.1057/palgrave.ivs.9500044
4909,journal,A Benchmark Dataset for Repetitive Pattern Recognition on Textured 3D Surfaces,2021,"Lengauer, Stefan, Sipiran, Ivan, Preiner, Reinhold, Schreck, Tobias, Bustos, Benjamin",https://doi.org/10.1111/cgf.14352
4229,EuroVis,The State of the Art in Visualizing Multivariate Networks,2019,"Nobre, Carolina, Meyer, Miriah, Streit, Marc, Lex, Alexander",10.1111/cgf.13728
3031,InfoVis,Structure-Based Suggestive Exploration: A New Approach for Effective Exploration of Large Networks,2019,"Chen, W., Guo, F., Han, D., Pan, J., Nie, X., Xia, J., Zhang, X.",10.1109/TVCG.2018.2865139
1779,IV,Nugget Browser: Visual Subgroup Mining and Statistical Significance Discovery in Multivariate Datasets,2011,"Guo, Zhenyu, Ward, M.O., Rundensteiner, E.A.",10.1109/IV.2011.21
1314,IV,Identifying Social Communities by Frequent Pattern Mining,2009,"Adnan, M., Alhajj, R., Rokne, J.",10.1109/IV.2009.49
3381,VAST,DeepEyes: Progressive Visual Analytics for Designing Deep Neural Networks,2018,"Pezzotti, N., Hollt, T., Gemert, J. Van, Lelieveldt, B. P. F., Eisemann, E., Vilanova, A.",10.1109/TVCG.2017.2744358
5668,VAST,Detecting Vehicular Patterns Using a Graph-Based Approach,2017,"Velampalli, S., Mookiah, L., Eberle, W.",10.1109/VAST.2017.8585667
1735,IV,Design Patterns for Rapid Visualization Prototyping,2008,"Giereth, M., Ertl, T.",10.1109/IV.2008.36
2998,VAST,Situ: Identifying and Explaining Suspicious Behavior in Networks,2019,"Goodall, J. R., Ragan, E. D., Steed, C. A., Reed, J. W., Richardson, G. D., Huffer, K. M. T., Bridges, R. A., Laska, J. A.",10.1109/TVCG.2018.2865029
299,InfoVis,Multivariate Network Exploration and Presentation: From Detail to Overview via Selections and Aggregations,2014,"van den Elzen, S., van Wijk, J.J.",10.1109/TVCG.2014.2346441
4539,EuroVis,Peax: Interactive Visual Pattern Search in Sequential Data Using Unsupervised Deep Representation Learning,2020,"Lekschas, Fritz, Peterson, Brant, Haehn, Daniel, Ma, Eric, Gehlenborg, Nils, Pfister, Hanspeter",https://doi.org/10.1111/cgf.13971
5637,VAST,Pattern Trails: Visual Analysis of Pattern Transitions in Subspaces,2017,"Jackle, D., Hund, M., Behrisch, M., Keim, D. A., Schreck, T.",10.1109/VAST.2017.8585613
2996,VAST,Vulnus: Visual Vulnerability Analysis for Network Security,2019,"Angelini, M., Blasilli, G., Catarci, T., Lenti, S., Santucci, G.",10.1109/TVCG.2018.2865028
5643,VAST,Visualizing Real-Time Strategy Games: The Example of StarCraft II,2017,"Kuan, Y., Wang, Y., Chuang, J.",10.1109/VAST.2017.8585594
4822,EuroVis,Exploring Multi-dimensional Data via Subset Embedding,2021,"Xie, Peng, Tao, Wenyuan, Li, Jie, Huang, Wentao, Chen, Siming",https://doi.org/10.1111/cgf.14290
5687,VAST,VAST Challenge 2017: Mini-challenge 1,2017,"Zhang, S., Guo, D., Zhu, Y., Wang, D.",10.1109/VAST.2017.8585461
156,InfoVis,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,2016,"Bach, B., Shi, Conglei, Heulot, N., Madhyastha, T., Grabowski, T., Dragicevic, P.",10.1109/TVCG.2015.2467851
642,journal,Visualizing Temporal Patterns in Large Multivariate Data using Modified Globbing,2008,"Glatter, M., Huang, J., Ahern, S., Daniel, J., Lu, Aidong",10.1109/TVCG.2008.184
3661,journal,A Progressive Approach to Scalar Field Topology,2021,"Vidal, J., Guillou, P., Tierny, J.",10.1109/TVCG.2021.3060500
4264,PacificVis,Visual Detection of Structural Changes in Time-Varying Graphs Using Persistent Homology,2018,"Hajij, M., Wang, B., Scheidegger, C., Rosen, P.",10.1109/PacificVis.2018.00024
4192,InfoVis,Cluster and calendar based visualization of time series data,1999,"Wijk, J. J. Van, Selow, E. R. Van",10.1109/INFVIS.1999.801851
100,VAST,Reducing Snapshots to Points: A Visual Analytics Approach to Dynamic Network Exploration,2016,"van den Elzen, S., Holten, D., Blaas, J., van Wijk, J.J.",10.1109/TVCG.2015.2468078
5016,IVI,A fast feature vector approach for revealing simplex and equi-correlation data patterns in reorderable matrices,2016,"Guimaraes da Silva, Celmar, Medina, Bruno Figueiredo, Rodrigues da Silva, Maressa, Hitoshi Kawakami, Willian, Rocha, Miguel Mechi Naves",10.1177/1473871616666392
