id,conference,title,year,authors,doi
501,SciVis,RelEx: Visualization for Actively Changing Overlay Network Specifications,2012,"Sedlmair, M., Frank, A., Munzner, T., Butz, A.",10.1109/TVCG.2012.255
2017,PacificVis,A visual analytics approach to exploring protein flexibility subspaces,2013,"Barlowe, S., Yang, Jing, Jacobs, D.J., Livesay, D.R., Alsakran, J., Zhao, Ye, Verma, D., Mottonen, J.",10.1109/PacificVis.2013.6596145
647,journal,Interactive Volume Exploration for Feature Detection and Quantification in Industrial CT Data,2008,"Hadwiger, M., Laura, F., Rezk-Salama, C., Hollt, T., Geier, G., Pabel, T.",10.1109/TVCG.2008.147
5370,EuroVis,Visualizing Expanded Query Results,2018,"Mazurek, Michael, Waldner, Manuela",10.1111/cgf.13403
3869,IV,Human-Machine Teaming in Music: anchored narrative-graph Visualization and Machine Learning,2020,"Benevento, G., De Prisco, R., Guarino, A., Lettieri, N., Malandrino, D., Zaccagnino, R.",10.1109/IV51561.2020.00095
2626,VAST,VAST 2009 Traffic Mini Challenge: Intuitive analytic information presentation,2009,"Agrawal, S., Sravanthi, K., Vadapalli, S., Karlapalem, K.",10.1109/VAST.2009.5334301
3,SciVis,Progressive Direct Volume-to-Volume Transformation,2017,"Frey, S., Ertl, T.",10.1109/TVCG.2016.2599042
270,InfoVis,"Domino: Extracting, Comparing, and Manipulating Subsets Across Multiple Tabular Datasets",2014,"Gratzl, S., Gehlenborg, N., Lex, A., Pfister, H., Streit, M.",10.1109/TVCG.2014.2346260
3238,journal,Vector Field Decompositions using Multiscale Poisson Kernel,2020,"Bhatia, H., Kirby, R. M., Pascucci, V., Bremer, P. -T.",10.1109/TVCG.2020.2984413
3651,journal,Improving Visualisation Design for Effective Multi-Objective Decision Making,2021,"Dy, B., Nazim, I., Poorthuis, A., Joyce, S. C.",10.1109/TVCG.2021.3065126
862,journal,Quantitative Texton Sequences for Legible Bivariate Maps,2009,"Ware, C.",10.1109/TVCG.2009.175
3147,journal,Understanding Missing Links in Bipartite Networks with MissBiN,2020,"Zhao, J., Sun, M., Chen, F., Chui, P.",10.1109/TVCG.2020.3032984
4222,InfoVis,The generalized detail in-context problem,1998,"Keahey, T. A.",10.1109/INFVIS.1998.729558
4227,EuroVis,State-of-the-Art Report: Visual Computing in Radiation Therapy Planning,2019,"Schlachter, Matthias, Raidou, Renata Georgia, Muren, Ludvig P., Preim, Bernhard, Putora, Paul Martin, Buhler, Katja",10.1111/cgf.13726
3979,InfoVis,An Experimental Investigation of Magnification Lens Offset and Its Impact on Imagery Analysis,2004,"Darling, E., Newbern, C., Kalghatgi, N., Burgman, A., Recktenwald, K.",10.1109/INFVIS.2004.6
3139,journal,VR Disability Simulation Reduces Implicit Bias Towards Persons with Disabilities,2019,"Chowdhury, T. I., Ferdous, S. M. Shahnewaz, Quarles, J.",10.1109/TVCG.2019.2958332
1191,IV,"Conferences, Coffee and Complexity: Supporting Cognition and Communication at Conventions",2014,"Windhager, F., Smuc, M., Zenk, L.",10.1109/IV.2014.63
1976,PacificVis,Visual 4D MRI blood flow analysis with line predicates,2012,"Born, S., Pfeifle, M., Markl, M., Scheuermann, G.",10.1109/PacificVis.2012.6183580
3528,journal,"StackGenVis: Alignment of Data, Algorithms, and Models for Stacking Ensemble Learning Using Performance Metrics",2021,"Chatzimparmpas, A., Martins, R. M., Kucher, K., Kerren, A.",10.1109/TVCG.2020.3030352
2676,VAST,"Visual analytics for situation awareness of a large-scale network: VAST 2012 Mini Challenge #1 award: ""Effective video presentation@",2012,"Horn, Chris, Ellsworth, Chris",10.1109/VAST.2012.6400525
5323,EuroVis,Learning Probabilistic Transfer Functions: A Comparative Study of Classifiers,2015,"Soundararajan, Krishna Prasad, Schultz, Thomas",10.1111/cgf.12623
1841,PacificVis,Navigation techniques for 2.5D graph layout,2007,"Ahmed, A., Hong, Seok-Hee",10.1109/APVIS.2007.329279
3451,SciVis,The Topology ToolKit,2018,"Tierny, J., Favelier, G., Levine, J. A., Gueunet, C., Michaux, M.",10.1109/TVCG.2017.2743938
942,IV,Visually Mining the Datacube using a Pixel-Oriented Technique,2007,"Auber, D., Novelli, N., Melancon, G.",10.1109/IV.2007.140
5126,IVI,Visualizing offscreen elements of node-link diagrams,2013,"Frisch, Mathias, Dachselt, Raimund",10.1177/1473871612473589
3801,IV,A Visual-Interactive Idiom to Diagnose Missing Data Mechanisms,2020,"Lima, R. S. do Amor Divino, de Araujo, T. Davi Oliveira, Santos, C. G. Resque dos, Meiguins, B. Serique",10.1109/IV51561.2020.00027
5425,EuroVis,Oui! Outlier Interpretation on Multi-dimensional Data via Visual Analytics,2019,"Zhao, Xun, Cui, Weiwei, Wu, Yanhong, Zhang, Haidong, Qu, Huamin, Zhang, Dongmei",10.1111/cgf.13683
1580,IV,Graph-Based Relational Data Visualization,2013,"De Lima, D.M., Rodrigues, J.F., Machado Traina, A.J.",10.1109/IV.2013.28
3885,IV,Lyrics Word Clouds,2016,"Burch, M., Fluck, T., Freund, J., Walzer, T., Kloos, U., Weiskopf, D.",10.1109/IV.2016.27
5143,IVI,Interactive Wormhole Detection and Evaluation,2007,"Wang, Weichao, Lu, Aidong",10.1057/palgrave.ivs.9500144
3806,IV,Exploring air quality using a multiple spatial resolution dashboard -- a case study in Lisbon,2020,"Taborda, R., Datin, N., Pato, M. P. M., Pires, J. M.",10.1109/IV51561.2020.00032
3468,SciVis,StreetVizor: Visual Exploration of Human-Scale Urban Forms Based on Street Views,2018,"Shen, Q., Zeng, W., Ye, Y., Arisona, S. M., Schubiger, S., Burkhard, R., Qu, H.",10.1109/TVCG.2017.2744159
5257,IVI,Visual Data Mining of Multimedia Data for Social and Behavioral Studies,2009,"Yu, Chen, Zhong, Yiwen, Smith, Thomas, Park, Ikhyun, Huang, Weixia",10.1057/ivs.2008.32
2040,PacificVis,Improved Optimal and Approximate Power Graph Compression for Clearer Visualisation of Dense Graphs,2014,"Dwyer, T., Mears, C., Morgan, K., Niven, T., Marriott, K., Wallace, M.",10.1109/PacificVis.2014.46
1826,IV,Some Drivers towards 3D Digital Master-Plan Visualisation in the UK,2011,"Counsell, J.",10.1109/IV.2011.81
446,InfoVis,Visualization of Flow Behavior in Earth Mantle Convection,2012,"Schroder, S., Peterson, J.A., Obermaier, H., Kellogg, L.H., Joy, K.I., Hagen, H.",10.1109/TVCG.2012.283
1836,PacificVis,Labeling collinear sites,2007,"Bekos, M.A., Kaufmann, M., Symvonis, A.",10.1109/APVIS.2007.329274
4674,journal,Memory-Efficient Bijective Parameterizations of Very-Large-Scale Models,2020,"Ye, Chunyang, Su, Jian-Ping, Liu, Ligang, Fu, Xiao-Ming",https://doi.org/10.1111/cgf.14122
2617,VAST,Integrative visual analytics for suspicious behavior detection,2009,"Bak, P., Rohrdantz, C., Leifert, S., Granacher, C., Koch, S., Butscher, S., Jungk, P., Keim, D.A.",10.1109/VAST.2009.5334430
3252,Vis,Supporting Analysis of Dimensionality Reduction Results with Contrastive Learning,2020,"Fujiwara, T., Kwon, O., Ma, K.",10.1109/TVCG.2019.2934251
637,journal,Continuous Scatterplots,2008,"Bachthaler, S., Weiskopf, D.",10.1109/TVCG.2008.119
5439,EuroVis,ChronoCorrelator: Enriching Events with Time Series,2019,"Dortmont, Martijn A.M.M. van, Elzen, Stef van den, Wijk, Jarke J. van",10.1111/cgf.13697
3639,journal,A Design Space of Vision Science Methods for Visualization Research,2021,"Elliott, M. A., Nothelfer, C., Xiong, C., Szafir, D. A.",10.1109/TVCG.2020.3029413
5578,VAST,HeatMosaic: Interactive Uncertainty Analysis of Disaster Events - 2019 VAST Challenge Honorable Mention Award for Visualization of Uncertainty,2019,"Wu, W., Zhou, Z., Chen, Y. V., Qian, Z. C.",10.1109/VAST47406.2019.8986930
4187,InfoVis,"The sunflower visual metaphor, a new paradigm for dimensional compression",1999,"Rose, S. J.",10.1109/INFVIS.1999.801868
2864,VAST,Configurable Spaces: Temporal analysis in diagrammatic contexts,2008,"Kapler, T., Eccles, R., Harper, R., Wright, W.",10.1109/VAST.2008.4677355
377,InfoVis,"Interactive Visualizations on Large and Small Displays: The Interrelation of Display Size, Information Space, and Scale",2013,"Jakobsen, M.R., Hornbaek, K.",10.1109/TVCG.2013.170
