id,conference,title,year,authors,doi
3162,journal,On the Plausibility of Virtual Body Animation Features in Virtual Reality,2020,"GalvanDebarba, H., Chague, S., Charbonnier, C.",10.1109/TVCG.2020.3025175
2756,VAST,mailVis: Visualizing emailbox for re-finding emails,2014,"Serim, B., Tung, Vuong Thanh, Ruotsalo, T., Micallef, L., Jacucci, G.",10.1109/VAST.2014.7042527
1926,PacificVis,Exploring geo-temporal differences using GTdiff,2011,"Hoeber, O., Wilson, G., Harding, S., Enguehard, R., Devillers, R.",10.1109/PACIFICVIS.2011.5742383
3878,IV,Feature Extraction and Visualization for Symbolic People Flow Data,2016,"Miyagi, Y., Onishi, M., Watanabe, C., Itoh, T., Takatsuka, M.",10.1109/IV.2016.71
4368,PacificVis,Dimension reconstruction for visual exploration of subspace clusters in high-dimensional data,2016,"Zhou, F., Li, J., Huang, W., Zhao, Y., Yuan, X., Liang, X., Shi, Y.",10.1109/PACIFICVIS.2016.7465260
2574,VAST,Guided analysis of hurricane trends using statistical processes integrated with interactive parallel coordinates,2009,"Steed, C.A., Swan, J.E., Jankun-Kelly, T. J., Fitzpatrick, P.J.",10.1109/VAST.2009.5332586
3145,journal,Direct Transmittance Estimation in Heterogeneous Participating Media Using Approximated Taylor Expansions,2020,"Jonsson, D., Kronander, J., Unger, J., Schon, T. B., Wrenninge, M.",10.1109/TVCG.2020.3035516
3891,IV,"Smoothed Multiple Binarization -- Using PQR Tree, Smoothing, Feature Vectors and Thresholding for Matrix Reordering",2016,"Medina, B. F., Kawakami, W. H., Silva, M. R. da, Silva, C. G. da",10.1109/IV.2016.22
2604,VAST,Reordered tilebars for visual text exploration,2009,"Thai, VinhTuan, Handschuh, S.",10.1109/VAST.2009.5333436
2797,VAST,Making sense of daily life data: From commonalities to anomalies: VAST 2014 Mini Challenge #2,2014,"Wang, Ji, Mi, Peng, North, Chris",10.1109/VAST.2014.7042568
1601,IV,Virtues and Vices: Examples of Medieval Knowledge Visualization,2013,"Marchese, F.T.",10.1109/IV.2013.46
2213,EuroVis,Vector Field k-Means: Clustering Trajectories by Fitting Multiple Vector Fields,2013,"Ferreira, Nivan, Klosowski, James T., Scheidegger, Carlos E., Silva, Claudio T.",10.1111/cgf.12107
1616,IV,UAV Sensor Operator Training Enhancement through Heat Map Analysis,2013,"Amresh, A., Femiani, J., Fairfield, J., Fairfield, A.",10.1109/IV.2013.60
1503,IV,Using an Interactive Dymaxion Map to Convey Research Information through Visualization,2012,"Zhong, Chen, Wang, Tao, Cairns, S., Arisona, S.M.",10.1109/IV.2012.114
2376,EuroVis,Mandatory Critical Points of 2D Uncertain Scalar Fields,2014,"Gunther, David, Salmon, Joseph, Tierny, Julien",10.1111/cgf.12359
1456,IV,ChronoView: Visualization Technique for Many Temporal Data,2012,"Shiroi, S., Misue, K., Tanaka, J.",10.1109/IV.2012.29
3234,journal,AgentVis: Visual Analysis of Agent Behavior withHierarchical Glyphs,2020,"Rees, D., Laramee, R. S., Brookes, P., D'Cruze, T., Smith, G. A., Miah, A.",10.1109/TVCG.2020.2985923
